keyword,position,url,title,description
cheap motels,3,http://www.travelocity.com/Hotels,"Hotels, Motels and Inns - Find Cheap Hotels | Travelocity",""
cheap motels,4,http://www.motel6.com/,Motel 6 - Find Discount Motels Nationwide & Book Motel Reservations,""
שפות תכנות,1,http://he.wikipedia.org/wiki/%D7%A9%D7%A4%D7%AA_%D7%AA%D7%9B%D7%A0%D7%95%D7%AA,שפת תכנות  ויקיפדיה‎,""
שפות תכנות,2,http://he.wikipedia.org/wiki/%D7%A9%D7%A4%D7%95%D7%AA_%D7%AA%D7%9B%D7%A0%D7%95%D7%AA,שפות תכנות  ויקיפדיה‎,""
שפות תכנות,3,http://www.underwar.co.il/tag/%D7%A9%D7%A4%D7%95%D7%AA-%D7%AA%D7%9B%D7%A0%D7%95%D7%AA,שפות תכנות‎,""
שפות תכנות,4,http://www.tapuz.co.il/Forums2008/ForumPage.aspx?ForumId=89,פורום שפות תכנות - תפוז פורומים‎,""
seo software,1,http://www.traffictravis.com/,Free SEO Software | The Best PPC & SEO Management Tool -Traffic ...,""
seo software,2,http://www.ibusinesspromoter.com/seo-tools/top-10-seo-software,SEO software - Top 10 ranking guarantee - Search engine ...,""
seo software,3,http://www.seoscheduler.com/,SEO Software - Do Your Own Search Engine Optimization | SEO ...,""
seo software,4,http://www.link-assistant.com/,SEO Software and SEO Tools | Top 10 Rank Guarantee | SEO ...,""
ipad,1,http://www.apple.com/ipad/,Apple - iPad 2 - Now with iOS 5 and iCloud.,""
ipad,2,http://store.apple.com/us/browse/home/shop_ipad/family/ipad,Buy iPad 2 Now,""
ipad,3,"","",""
ipad,4,http://en.wikipedia.org/wiki/IPad,"iPad - Wikipedia, the free encyclopedia",""
ipad,5,/search?q=ipad&num=2&hl=en&ie=UTF-8&prmd=ivnsr&source=univ&tbm=nws&tbo=u&sa=X&ei=UcMxT5_OPKWlsQL8iKiZBw&ved=0CEkQqAI,News for ipad,""
ipad,6,http://www.cnet.com/apple-ipad/,"Apple iPad tablet: reviews, news, photos, and videos - CNET.com",""
ipad,7,http://gizmodo.com/5458382/8-things-that-suck-about-the-ipad,8 Things That Suck About the iPad,""
muffuletta manhattanization,1,http://stackoverflow.com/questions/7332107/ruby-doesnt-treat-hebrew-letters-well,xml - Ruby doesn't treat hebrew letters well - Stack Overflow,""
muffuletta manhattanization,2,http://rubyonrails.resourcezen.com/ruby-doesn-t-treat-hebrew-letters-well,Ruby doesn't treat hebrew letters well | Ruby on Rails,""
muffuletta manhattanization,3,http://stackoverflow.com/tags/hebrew/hot?filter=year,Hottest 'hebrew' Answers - Stack Overflow,""
muffuletta manhattanization,4,https://facebook.stackoverflow.com/tags/hebrew/hot?filter=year,Hottest 'hebrew' Answers - Facebook Stack Overflow,""
cheap motels,1,http://www.motels.com/,Discount Hotels Motels - Cheap Rooms Online - your key to happy ...,""
cheap motels,2,http://www.motelplanet.com/,"Motels Cheap - Discount Motel Rates, Reservation & Guides",""
cheap motels,3,http://www.travelocity.com/Hotels,"Hotels, Motels and Inns - Find Cheap Hotels | Travelocity",""
cheap motels,4,http://www.motel6.com/,Motel 6 - Find Discount Motels Nationwide & Book Motel Reservations,""
שפות תכנות,1,http://he.wikipedia.org/wiki/%D7%A9%D7%A4%D7%AA_%D7%AA%D7%9B%D7%A0%D7%95%D7%AA,שפת תכנות  ויקיפדיה‎,""
שפות תכנות,2,http://he.wikipedia.org/wiki/%D7%A9%D7%A4%D7%95%D7%AA_%D7%AA%D7%9B%D7%A0%D7%95%D7%AA,שפות תכנות  ויקיפדיה‎,""
שפות תכנות,3,http://www.underwar.co.il/tag/%D7%A9%D7%A4%D7%95%D7%AA-%D7%AA%D7%9B%D7%A0%D7%95%D7%AA,שפות תכנות‎,""
שפות תכנות,4,http://www.tapuz.co.il/Forums2008/ForumPage.aspx?ForumId=89,פורום שפות תכנות - תפוז פורומים‎,""
seo software,1,http://www.traffictravis.com/,Free SEO Software | The Best PPC & SEO Management Tool -Traffic ...,""
seo software,2,http://www.ibusinesspromoter.com/seo-tools/top-10-seo-software,SEO software - Top 10 ranking guarantee - Search engine ...,""
seo software,3,http://www.seoscheduler.com/,SEO Software - Do Your Own Search Engine Optimization | SEO ...,""
seo software,4,http://www.link-assistant.com/,SEO Software and SEO Tools | Top 10 Rank Guarantee | SEO ...,""
ipad,1,http://www.apple.com/ipad/,Apple - iPad 2 - Now with iOS 5 and iCloud.,""
ipad,2,http://store.apple.com/us/browse/home/shop_ipad/family/ipad,Buy iPad 2 Now,""
ipad,3,"","",""
ipad,4,http://en.wikipedia.org/wiki/IPad,"iPad - Wikipedia, the free encyclopedia",""
ipad,5,/search?q=ipad&num=2&hl=en&ie=UTF-8&prmd=ivnsr&source=univ&tbm=nws&tbo=u&sa=X&ei=esMxT7CRM6aksQLn49HeBg&ved=0CEkQqAI,News for ipad,""
ipad,6,http://www.cnet.com/apple-ipad/,"Apple iPad tablet: reviews, news, photos, and videos - CNET.com",""
ipad,7,http://gizmodo.com/5458382/8-things-that-suck-about-the-ipad,8 Things That Suck About the iPad,""
muffuletta manhattanization,1,http://stackoverflow.com/questions/7332107/ruby-doesnt-treat-hebrew-letters-well,xml - Ruby doesn't treat hebrew letters well - Stack Overflow,""
muffuletta manhattanization,2,http://rubyonrails.resourcezen.com/ruby-doesn-t-treat-hebrew-letters-well,Ruby doesn't treat hebrew letters well | Ruby on Rails,""
muffuletta manhattanization,3,http://stackoverflow.com/tags/hebrew/hot?filter=year,Hottest 'hebrew' Answers - Stack Overflow,""
muffuletta manhattanization,4,https://facebook.stackoverflow.com/tags/hebrew/hot?filter=year,Hottest 'hebrew' Answers - Facebook Stack Overflow,""
cheap motels,1,http://www.motels.com/,Discount Hotels Motels - Cheap Rooms Online - your key to happy ...,""
cheap motels,2,http://www.motelplanet.com/,"Motels Cheap - Discount Motel Rates, Reservation & Guides",""
cheap motels,3,http://www.travelocity.com/Hotels,"Hotels, Motels and Inns - Find Cheap Hotels | Travelocity",""
cheap motels,4,http://www.motel6.com/,Motel 6 - Find Discount Motels Nationwide & Book Motel Reservations,""
שפות תכנות,1,http://he.wikipedia.org/wiki/%D7%A9%D7%A4%D7%AA_%D7%AA%D7%9B%D7%A0%D7%95%D7%AA,שפת תכנות  ויקיפדיה‎,""
שפות תכנות,2,http://he.wikipedia.org/wiki/%D7%A9%D7%A4%D7%95%D7%AA_%D7%AA%D7%9B%D7%A0%D7%95%D7%AA,שפות תכנות  ויקיפדיה‎,""
שפות תכנות,3,http://www.underwar.co.il/tag/%D7%A9%D7%A4%D7%95%D7%AA-%D7%AA%D7%9B%D7%A0%D7%95%D7%AA,שפות תכנות‎,""
שפות תכנות,4,http://www.tapuz.co.il/Forums2008/ForumPage.aspx?ForumId=89,פורום שפות תכנות - תפוז פורומים‎,""
seo software,1,http://www.traffictravis.com/,Free SEO Software | The Best PPC & SEO Management Tool -Traffic ...,""
seo software,2,http://www.ibusinesspromoter.com/seo-tools/top-10-seo-software,SEO software - Top 10 ranking guarantee - Search engine ...,""
seo software,3,http://www.seoscheduler.com/,SEO Software - Do Your Own Search Engine Optimization | SEO ...,""
seo software,4,http://www.link-assistant.com/,SEO Software and SEO Tools | Top 10 Rank Guarantee | SEO ...,""
ipad,1,http://www.apple.com/ipad/,Apple - iPad 2 - Now with iOS 5 and iCloud.,""
ipad,2,http://store.apple.com/us/browse/home/shop_ipad/family/ipad,Buy iPad 2 Now,""
ipad,3,"","",""
ipad,4,http://en.wikipedia.org/wiki/IPad,"iPad - Wikipedia, the free encyclopedia",""
ipad,5,/search?q=ipad&num=2&hl=en&ie=UTF-8&prmd=ivnsr&source=univ&tbm=nws&tbo=u&sa=X&ei=4sMxT4vGGOXjsQLUtriXBw&ved=0CEkQqAI,News for ipad,""
ipad,6,http://www.cnet.com/apple-ipad/,"Apple iPad tablet: reviews, news, photos, and videos - CNET.com",""
ipad,7,http://gizmodo.com/5458382/8-things-that-suck-about-the-ipad,8 Things That Suck About the iPad,""
muffuletta manhattanization,1,http://stackoverflow.com/questions/7332107/ruby-doesnt-treat-hebrew-letters-well,xml - Ruby doesn't treat hebrew letters well - Stack Overflow,""
muffuletta manhattanization,2,http://rubyonrails.resourcezen.com/ruby-doesn-t-treat-hebrew-letters-well,Ruby doesn't treat hebrew letters well | Ruby on Rails,""
muffuletta manhattanization,3,http://stackoverflow.com/tags/hebrew/hot?filter=year,Hottest 'hebrew' Answers - Stack Overflow,""
muffuletta manhattanization,4,https://facebook.stackoverflow.com/tags/hebrew/hot?filter=year,Hottest 'hebrew' Answers - Facebook Stack Overflow,""
cheap motels,1,http://www.motels.com/,Discount Hotels Motels - Cheap Rooms Online - your key to happy ...,""
cheap motels,2,http://www.motelplanet.com/,"Motels Cheap - Discount Motel Rates, Reservation & Guides",""
cheap motels,3,http://www.travelocity.com/Hotels,"Hotels, Motels and Inns - Find Cheap Hotels | Travelocity",""
cheap motels,4,http://www.motel6.com/,Motel 6 - Find Discount Motels Nationwide & Book Motel Reservations,""
שפות תכנות,1,http://he.wikipedia.org/wiki/%D7%A9%D7%A4%D7%AA_%D7%AA%D7%9B%D7%A0%D7%95%D7%AA,שפת תכנות  ויקיפדיה‎,""
שפות תכנות,2,http://he.wikipedia.org/wiki/%D7%A9%D7%A4%D7%95%D7%AA_%D7%AA%D7%9B%D7%A0%D7%95%D7%AA,שפות תכנות  ויקיפדיה‎,""
שפות תכנות,3,http://www.underwar.co.il/tag/%D7%A9%D7%A4%D7%95%D7%AA-%D7%AA%D7%9B%D7%A0%D7%95%D7%AA,שפות תכנות‎,""
שפות תכנות,4,http://www.tapuz.co.il/Forums2008/ForumPage.aspx?ForumId=89,פורום שפות תכנות - תפוז פורומים‎,""
seo software,1,http://www.traffictravis.com/,Free SEO Software | The Best PPC & SEO Management Tool -Traffic ...,""
seo software,2,http://www.ibusinesspromoter.com/seo-tools/top-10-seo-software,SEO software - Top 10 ranking guarantee - Search engine ...,""
seo software,3,http://www.seoscheduler.com/,SEO Software - Do Your Own Search Engine Optimization | SEO ...,""
seo software,4,http://www.link-assistant.com/,SEO Software and SEO Tools | Top 10 Rank Guarantee | SEO ...,""
ipad,1,http://www.apple.com/ipad/,Apple - iPad 2 - Now with iOS 5 and iCloud.,""
ipad,2,http://store.apple.com/us/browse/home/shop_ipad/family/ipad,Buy iPad 2 Now,""
ipad,3,"","",""
ipad,4,http://en.wikipedia.org/wiki/IPad,"iPad - Wikipedia, the free encyclopedia",""
ipad,5,/search?q=ipad&num=2&hl=en&ie=UTF-8&prmd=ivnsr&source=univ&tbm=nws&tbo=u&sa=X&ei=8ckxT-62LuOesQLo7_mhBw&ved=0CEkQqAI,News for ipad,""
ipad,6,http://www.cnet.com/apple-ipad/,"Apple iPad tablet: reviews, news, photos, and videos - CNET.com",""
ipad,7,http://gizmodo.com/5458382/8-things-that-suck-about-the-ipad,8 Things That Suck About the iPad,""
muffuletta manhattanization,1,http://stackoverflow.com/questions/7332107/ruby-doesnt-treat-hebrew-letters-well,xml - Ruby doesn't treat hebrew letters well - Stack Overflow,""
muffuletta manhattanization,2,http://rubyonrails.resourcezen.com/ruby-doesn-t-treat-hebrew-letters-well,Ruby doesn't treat hebrew letters well | Ruby on Rails,""
muffuletta manhattanization,3,http://stackoverflow.com/tags/hebrew/hot?filter=year,Hottest 'hebrew' Answers - Stack Overflow,""
muffuletta manhattanization,4,https://facebook.stackoverflow.com/tags/hebrew/hot?filter=year,Hottest 'hebrew' Answers - Facebook Stack Overflow,""
cheap motels,1,http://www.motels.com/,Discount Hotels Motels - Cheap Rooms Online - your key to happy ...,""
cheap motels,2,http://www.motelplanet.com/,"Motels Cheap - Discount Motel Rates, Reservation & Guides",""
cheap motels,3,http://www.travelocity.com/Hotels,"Hotels, Motels and Inns - Find Cheap Hotels | Travelocity",""
cheap motels,4,http://www.motel6.com/,Motel 6 - Find Discount Motels Nationwide & Book Motel Reservations,""
שפות תכנות,1,http://he.wikipedia.org/wiki/%D7%A9%D7%A4%D7%AA_%D7%AA%D7%9B%D7%A0%D7%95%D7%AA,שפת תכנות  ויקיפדיה‎,""
שפות תכנות,2,http://he.wikipedia.org/wiki/%D7%A9%D7%A4%D7%95%D7%AA_%D7%AA%D7%9B%D7%A0%D7%95%D7%AA,שפות תכנות  ויקיפדיה‎,""
שפות תכנות,3,http://www.underwar.co.il/tag/%D7%A9%D7%A4%D7%95%D7%AA-%D7%AA%D7%9B%D7%A0%D7%95%D7%AA,שפות תכנות‎,""
שפות תכנות,4,http://www.tapuz.co.il/Forums2008/ForumPage.aspx?ForumId=89,פורום שפות תכנות - תפוז פורומים‎,""
